date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:24:40	19777/19777	---MC-	200	added ('OK')	text/html	date:Sun,%2010%20May%202026%2000:24:40%20GMT	https://axumaycrypto.trade/login	C:/Users/USER/desktop/axumay/axumaycrypto.trade/login.html	(from https://axumaycrypto.trade/)
01:24:42	138538/138538	---MC-	200	added ('OK')	text/html	date:Sun,%2010%20May%202026%2000:24:41%20GMT	https://axumaycrypto.trade/register	C:/Users/USER/desktop/axumay/axumaycrypto.trade/register.html	(from https://axumaycrypto.trade/)
01:24:42	158521/158521	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/logo/banner.jpg	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/logo/banner.jpg	(from https://axumaycrypto.trade/)
01:24:43	3372/3372	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac0f992a32b1672220569.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac0f992a32b1672220569.png	(from https://axumaycrypto.trade/)
01:24:43	4301/4301	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac0fa3a5c781672220579.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac0fa3a5c781672220579.png	(from https://axumaycrypto.trade/)
01:24:44	2415/2415	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac0faed0e511672220590.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac0faed0e511672220590.png	(from https://axumaycrypto.trade/)
01:24:44	998653/998653	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac0f188d1e71672220440.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac0f188d1e71672220440.png	(from https://axumaycrypto.trade/)
01:24:44	1737/1737	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac1031952101672220721.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac1031952101672220721.png	(from https://axumaycrypto.trade/)
01:24:45	780562/780562	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac0ff74380e1672220663.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac0ff74380e1672220663.png	(from https://axumaycrypto.trade/)
01:24:45	2014/2014	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac103b79dad1672220731.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac103b79dad1672220731.png	(from https://axumaycrypto.trade/)
01:24:45	2656/2656	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac1043c78011672220739.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac1043c78011672220739.png	(from https://axumaycrypto.trade/)
01:24:46	4072/4072	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac104f998a11672220751.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac104f998a11672220751.png	(from https://axumaycrypto.trade/)
01:24:46	3264/3264	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac10576a5051672220759.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac10576a5051672220759.png	(from https://axumaycrypto.trade/)
01:24:46	2014/2014	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac1060947cf1672220768.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac1060947cf1672220768.png	(from https://axumaycrypto.trade/)
01:24:47	5937/5937	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/admin/images/default.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/admin/images/default.png	(from https://axumaycrypto.trade/)
01:24:47	2713/2713	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/themes/deepblack/img/icon/cross.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/themes/deepblack/img/icon/cross.png	(from https://axumaycrypto.trade/)
01:24:48	2257/2257	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/themes/deepblack/img/icon/quote.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/themes/deepblack/img/icon/quote.png	(from https://axumaycrypto.trade/)
01:24:48	3815/3815	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/62778ce92d4d51652002025.jpg	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/62778ce92d4d51652002025.jpg	(from https://axumaycrypto.trade/)
01:24:49	7480/7480	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/62778cfbc88651652002043.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/62778cfbc88651652002043.png	(from https://axumaycrypto.trade/)
01:24:49	16848/16848	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/605aeaf009ddb1616571120.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/605aeaf009ddb1616571120.png	(from https://axumaycrypto.trade/)
01:24:50	16110/16110	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/605aeb033ff771616571139.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/605aeb033ff771616571139.png	(from https://axumaycrypto.trade/)
01:24:51	5191/5191	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac1255649ae1672221269.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac1255649ae1672221269.png	(from https://axumaycrypto.trade/)
01:24:51	2728/2728	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac1289828601672221321.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac1289828601672221321.png	(from https://axumaycrypto.trade/)
01:24:52	4316/4316	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac129c560cc1672221340.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac129c560cc1672221340.png	(from https://axumaycrypto.trade/)
01:24:52	8426/8426	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac12a81facb1672221352.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac12a81facb1672221352.png	(from https://axumaycrypto.trade/)
01:24:52	2049/2049	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202026%2014:04:03%20GMT	https://axumaycrypto.trade/assets/uploads/content/63ac13d565e0a1672221653.png	C:/Users/USER/desktop/axumay/axumaycrypto.trade/assets/uploads/content/63ac13d565e0a1672221653.png	(from https://axumaycrypto.trade/)
